"NAME_1","month","day","total_count","mean_pop","median_pop","total_baseline_oblast_population","baseline_penetration_rate","current_pop_size","total_baseline_pop","net_outflow","total_current_pop_by_month_and_day","scaling_factor","adjusted_pop_size","net_pop_change","proportional_net_change","date","week","week_adjusted"
"Mykolayiv",7,23,1419,26704.6363636364,24616,1087081.64229356,0.0226441134154969,62665.2929157687,42166319.9815403,5836372,2297062.35275179,15.8158301353981,991103.628140765,-95978.0141527947,-0.0882896099232227,2022-07-23,29,22
"Mykolayiv",7,24,1634,26704.6363636364,24616,1087081.64229356,0.0226441134154969,72160.0342666427,42166319.9815403,5853491,2616012.4232448,13.8809849138634,1001652.34703913,-85429.2952544278,-0.0785859055389679,2022-07-24,29,22
"Mykolayiv",7,25,1538,26704.6363636364,24616,1087081.64229356,0.0226441134154969,67920.5218495082,42166319.9815403,5871181,2439189.1126414,14.8800020438908,1010657.50394282,-76424.1383507445,-0.0703021147422767,2022-07-25,30,23
"Mykolayiv",7,26,1465,26704.6363636364,24616,1087081.64229356,0.0226441134154969,64696.7259489789,42166319.9815403,5893263,2192620.82995767,16.5432419896516,1070293.59331213,-16788.0489814319,-0.0154432273789592,2022-07-26,30,23
"Mykolayiv",7,27,1706,26704.6363636364,24616,1087081.64229356,0.0226441134154969,75339.6685794935,42166319.9815403,5917050,2905519.10784835,12.476004678002,939938.057636884,-147143.584656676,-0.1353565168723,2022-07-27,30,23
"Mykolayiv",7,28,2420,26704.6363636364,24616,1087081.64229356,0.0226441134154969,106871.042181931,42166319.9815403,5942862,4144667.71279328,8.73977372654747,934028.726590387,-153052.915703173,-0.14079247569691,2022-07-28,30,23
"Mykolayiv",7,29,568,26704.6363636364,24616,1087081.64229356,0.0226441134154969,25083.7818013789,42166319.9815403,5967643,853731.293431239,42.4005506885591,1063566.16173012,-23515.4805634406,-0.0216317520676983,2022-07-29,30,23
"Mykolayiv",7,30,1333,26704.6363636364,24616,1087081.64229356,0.0226441134154969,58867.396375419,42166319.9815403,5987403,1839964.49259847,19.6628343248337,1157499.86206418,70418.2197706203,0.0647773056143692,2022-07-30,30,23
"Mykolayiv",7,31,2098,26704.6363636364,24616,1087081.64229356,0.0226441134154969,92651.0109494592,42166319.9815403,6002180,3162442.60488539,11.4355087190115,1059511.44353777,-27570.1987557884,-0.0253616634511644,2022-07-31,30,23
"Mykolayiv",8,1,1482,26704.6363636364,24616,1087081.64229356,0.0226441134154969,65447.4729395131,42166319.9815403,6016903,2215891.9389525,16.3137093222285,1067691.04940963,-19390.5928839275,-0.0178372921862765,2022-08-01,31,24
"Mykolayiv",8,2,2292,26704.6363636364,24616,1087081.64229356,0.0226441134154969,101218.358959085,42166319.9815403,6037220,3463550.35609424,10.4312327718781,1055832.26308973,-31249.3792038306,-0.0287461198755042,2022-08-02,31,24
"Mykolayiv",8,3,3394,26704.6363636364,24616,1087081.64229356,0.0226441134154969,149884.428580774,42166319.9815403,6060616,5034075.75652005,7.17226075407722,1075010.20475718,-12071.4375363817,-0.0111044442907829,2022-08-03,31,24
"Mykolayiv",8,4,3806,26704.6363636364,24616,1087081.64229356,0.0226441134154969,168079.00270431,42166319.9815403,6086902,5499824.70515224,6.56010326069868,1102615.61369552,15533.9714019638,0.0142896087999332,2022-08-04,31,24
"Mykolayiv",8,5,3980,26704.6363636364,24616,1087081.64229356,0.0226441134154969,175763.118960366,42166319.9815403,6111266,6604892.21190215,5.45884063279161,959462.855527031,-127618.786766529,-0.117395770291249,2022-08-05,31,24
"Mykolayiv",8,6,3704,26704.6363636364,24616,1087081.64229356,0.0226441134154969,163574.520761104,42166319.9815403,6133203,6493800.85748869,5.54884847446264,907650.229986212,-179431.412307348,-0.16505789935775,2022-08-06,31,24
"Mykolayiv",8,7,3986,26704.6363636364,24616,1087081.64229356,0.0226441134154969,176028.088486437,42166319.9815403,6151110,5942883.7617232,6.06022453501553,1066769.74069739,-20311.9015961713,-0.0186847986443011,2022-08-07,31,24
"Mykolayiv",8,8,3504,26704.6363636364,24616,1087081.64229356,0.0226441134154969,154742.203225408,42166319.9815403,6168430,4930079.2924287,7.30168580388222,1129878.94855242,42797.3062588563,0.039368989957885,2022-08-08,32,25
"Mykolayiv",8,9,4136,26704.6363636364,24616,1087081.64229356,0.0226441134154969,182652.326638209,42166319.9815403,6191153,6526411.6063478,5.51224304433231,1006824.01704258,-80257.6252509764,-0.0738285167631442,2022-08-09,32,25
"Mykolayiv",8,10,5508,26704.6363636364,24616,1087081.64229356,0.0226441134154969,243242.024933089,42166319.9815403,6215609,6678161.57962184,5.38332452021565,1309450.75716921,222369.114875646,0.204556039053777,2022-08-10,32,25
"Mykolayiv",8,11,4268,26704.6363636364,24616,1087081.64229356,0.0226441134154969,188481.656211769,42166319.9815403,6242076,7108568.394559,5.05365384245824,952521.046147502,-134560.596146058,-0.123781499853275,2022-08-11,32,25
"Mykolayiv",8,12,3374,26704.6363636364,24616,1087081.64229356,0.0226441134154969,149001.196827205,42166319.9815403,6267333,5078261.13121528,7.06914946946601,1053311.73150083,-33769.9107927261,-0.0310647420385807,2022-08-12,32,25
"Mykolayiv",8,13,2536,26704.6363636364,24616,1087081.64229356,0.0226441134154969,111993.786352635,42166319.9815403,6286990,4265327.43595871,8.41185829698812,942075.860941529,-145005.781352031,-0.133389964203694,2022-08-13,32,25
"Mykolayiv",8,14,2296,26704.6363636364,24616,1087081.64229356,0.0226441134154969,101395.005309799,42166319.9815403,6301585,3730226.71736976,9.61462605330036,974875.059726122,-112206.582567438,-0.103218174424049,2022-08-14,32,25
"Mykolayiv",8,15,2444,26704.6363636364,24616,1087081.64229356,0.0226441134154969,107930.920286215,42166319.9815403,6317408,3984646.84101643,8.99676016768295,971028.604492379,-116053.037801181,-0.106756505938531,2022-08-15,33,26
"Mykolayiv",8,16,2957,26704.6363636364,24616,1087081.64229356,0.0226441134154969,130585.814765277,42166319.9815403,6341197,4365654.07493097,8.20612956653164,1071604.11551496,-15477.5267785979,-0.014237685723349,2022-08-16,33,26
"Mykolayiv",8,17,2793,26704.6363636364,24616,1087081.64229356,0.0226441134154969,123343.314386006,42166319.9815403,6361603,3900532.1672967,9.17944409784348,1132223.05924907,45141.4169555111,0.0415253235812816,2022-08-17,33,26
"Mykolayiv",8,18,2720,26704.6363636364,24616,1087081.64229356,0.0226441134154969,120119.518485476,42166319.9815403,6383698,3993009.23221692,8.9613171171342,1076429.09710582,-10652.5451877441,-0.00979921357633176,2022-08-18,33,26
"Mykolayiv",8,19,2713,26704.6363636364,24616,1087081.64229356,0.0226441134154969,119810.387371727,42166319.9815403,6410901,4422395.55030715,8.08507935909464,968676.489944282,-118405.152349278,-0.108920202257728,2022-08-19,33,26
"Mykolayiv",8,20,3907,26704.6363636364,24616,1087081.64229356,0.0226441134154969,172539.323059837,42166319.9815403,6432792,5825502.31075833,6.13398228605093,1058353.15129626,-28728.4909973033,-0.0264271696619685,2022-08-20,33,26
"Mykolayiv",8,21,3486,26704.6363636364,24616,1087081.64229356,0.0226441134154969,153947.294647195,42166319.9815403,6452045,6039757.72963344,5.91319661818751,910320.622086909,-176761.020206651,-0.162601421392523,2022-08-21,33,26
"Mykolayiv",8,22,3552,26704.6363636364,24616,1087081.64229356,0.0226441134154969,156861.959433975,42166319.9815403,6473544,9712607.3435886,3.67489127469994,576450.64605625,-510630.99623731,-0.469726445899651,2022-08-22,34,27
"Mykolayiv",8,23,3566,26704.6363636364,24616,1087081.64229356,0.0226441134154969,157480.221661474,42166319.9815403,6505317,6105129.42732502,5.84115429591561,919866.273279659,-167215.369013901,-0.153820433082748,2022-08-23,34,27
"Mykolayiv",8,24,3578,26704.6363636364,24616,1087081.64229356,0.0226441134154969,158010.160713615,42166319.9815403,6531192,5661811.44538832,6.2939446721713,994507.20917239,-92574.4331211696,-0.0851586757788063,2022-08-24,34,27
"Mykolayiv",8,25,3684,26704.6363636364,24616,1087081.64229356,0.0226441134154969,162691.289007535,42166319.9815403,6548492,5869837.37354508,6.06794119068226,987201.173934012,-99880.4683595481,-0.0918794545631523,2022-08-25,34,27
"Mykolayiv",8,26,3984,26704.6363636364,24616,1087081.64229356,0.0226441134154969,175939.76531108,42166319.9815403,6562502,6191916.84362659,5.7500478253657,1011662.06492233,-75419.5773712334,-0.0693780250139361,2022-08-26,34,27
"Mykolayiv",8,27,3812,26704.6363636364,24616,1087081.64229356,0.0226441134154969,168343.972230381,42166319.9815403,6574710,5596953.84114775,6.3591037181471,1070516.77973787,-16564.8625556938,-0.015237919500457,2022-08-27,34,27
"Mykolayiv",8,28,4162,26704.6363636364,24616,1087081.64229356,0.0226441134154969,183800.52791785,42166319.9815403,6583157,6332591.57497694,5.61905225692214,1032784.77122028,-54296.8710732838,-0.0499473718999859,2022-08-28,34,27
"Mykolayiv",8,29,5538,26704.6363636364,24616,1087081.64229356,0.0226441134154969,244566.872563444,42166319.9815403,6594771,8216267.55860051,4.32940489435562,1058829.01507342,-28252.6272201401,-0.0259894253761215,2022-08-29,35,28
"Mykolayiv",8,30,4170,26704.6363636364,24616,1087081.64229356,0.0226441134154969,184153.820619278,42166319.9815403,6610179,7349390.97765933,4.837971076736,890930.857826496,-196150.784467064,-0.180437951332909,2022-08-30,35,28
"Mykolayiv",8,31,9614,26704.6363636364,24616,1087081.64229356,0.0226441134154969,424569.503940944,42166319.9815403,6630503,16575398.6808252,2.14388912543316,910229.942489541,-176851.699804019,-0.162684837020053,2022-08-31,35,28
"Odessa",2,25,62326,53029.5454545455,52624,2214672.19558773,0.0237615300832522,2622979.23499165,42166319.9815403,156788,57714814.0729419,0.727881266817342,1909217.44840131,-305454.747186423,-0.137923232067923,2022-02-25,8,1
"Odessa",2,26,60099,53029.5454545455,52624,2214672.19558773,0.0237615300832522,2529256.31427917,42166319.9815403,287630,54830600.7739893,0.763783168347243,1931803.40128241,-282868.794305319,-0.127724904330707,2022-02-26,8,1
"Odessa",2,27,37305,53029.5454545455,52624,2214672.19558773,0.0237615300832522,1569974.65522196,42166319.9815403,444321,34689248.302566,1.20273574733109,1888264.64023924,-326407.555348488,-0.147384139286521,2022-02-27,8,1
"Odessa",2,28,31868,53029.5454545455,52624,2214672.19558773,0.0237615300832522,1341159.42400786,42166319.9815403,597136,29826495.0213085,1.39369992859847,1869173.79347893,-345498.402108803,-0.156004307453327,2022-02-28,9,2
"Odessa",3,1,34966,53029.5454545455,52624,2214672.19558773,0.0237615300832522,1471538.23333309,42166319.9815403,752539,28943088.6343985,1.43086943845795,2105579.08559872,-109093.109989013,-0.0492592584159219,2022-03-01,9,2
"Odessa",3,2,42925,53029.5454545455,52624,2214672.19558773,0.0237615300832522,1806491.4106796,42166319.9815403,912962,35135319.8597528,1.17412786182703,2121051.89743013,-93620.2981576002,-0.0422727563673392,2022-03-02,9,2
"Odessa",3,3,31762,53029.5454545455,52624,2214672.19558773,0.0237615300832522,1336698.43182307,42166319.9815403,1086775,26214272.9591755,1.56706787350216,2094697.16907066,-119975.02651707,-0.0541728147199821,2022-03-03,9,2
"Odessa",3,4,19486,53029.5454545455,52624,2214672.19558773,0.0237615300832522,820065.035026271,42166319.9815403,1247401,15313132.9003459,2.6721454876563,2191333.08293015,-23339.1126575787,-0.0105384050533876,2022-03-04,9,2
"Odessa",3,5,18121,53029.5454545455,52624,2214672.19558773,0.0237615300832522,762619.239439138,42166319.9815403,1432746,13926017.6155252,2.92499802212867,2230659.76699675,15987.571409021,0.00721893354730913,2022-03-05,9,2
"Odessa",3,6,16148,53029.5454545455,52624,2214672.19558773,0.0237615300832522,679585.866037371,42166319.9815403,1624612,13896831.3329623,2.91733467940842,1982579.41462663,-232092.780961103,-0.10479780322501,2022-03-06,9,2
"Odessa",3,7,17581,53029.5454545455,52624,2214672.19558773,0.0237615300832522,739893.430195877,42166319.9815403,1821480,13709821.72095,2.94276911857208,2177335.53741479,-37336.6581729371,-0.0168587740647679,2022-03-07,10,3
"Odessa",3,8,13731,53029.5454545455,52624,2214672.19558773,0.0237615300832522,577866.827257812,42166319.9815403,1995363,10261795.2527854,3.91461298846675,2262124.9875875,47452.7919997713,0.0214265533717861,2022-03-08,10,3
"Odessa",3,9,15822,53029.5454545455,52624,2214672.19558773,0.0237615300832522,665866.210827551,42166319.9815403,2153330,12324119.9292663,3.24672189261327,2161882.40424525,-52789.7913424768,-0.0238363905266203,2022-03-09,10,3
"Odessa",3,10,17447,53029.5454545455,52624,2214672.19558773,0.0237615300832522,734254.062716994,42166319.9815403,2263225,13719835.8948061,2.90842363476421,2135521.86992775,-79150.3256599801,-0.0357390704672549,2022-03-10,10,3
"Odessa",3,11,16579,53029.5454545455,52624,2214672.19558773,0.0237615300832522,697724.428600048,42166319.9815403,2370102,13466741.2749448,2.95514832943157,2061879.17958103,-152793.016006703,-0.0689912558215663,2022-03-11,10,3
"Odessa",3,12,17706,53029.5454545455,52624,2214672.19558773,0.0237615300832522,745154.034187373,42166319.9815403,2470355,14483456.4197904,2.7407798132564,2042303.13466732,-172369.060920411,-0.0778305074962429,2022-03-12,10,3
"Odessa",3,13,15868,53029.5454545455,52624,2214672.19558773,0.0237615300832522,667802.113096421,42166319.9815403,2581188,15039923.0181013,2.63200363019795,1757657.58592364,-457014.609664087,-0.206357677029852,2022-03-13,10,3
"Odessa",3,14,14389,53029.5454545455,52624,2214672.19558773,0.0237615300832522,605558.646669045,42166319.9815403,2682682,13620353.5730419,2.89887026572411,1755435.95498103,-459236.240606703,-0.207360819141377,2022-03-14,11,4
"Odessa",3,15,16398,53029.5454545455,52624,2214672.19558773,0.0237615300832522,690107.074020363,42166319.9815403,2778894,11936245.4696398,3.29981702217197,2277227.06997368,62554.8743859539,0.0282456584367571,2022-03-15,11,4
"Odessa",3,16,17546,53029.5454545455,52624,2214672.19558773,0.0237615300832522,738420.461078259,42166319.9815403,2867315,13793482.1567681,2.84909963524021,2103833.46631198,-110838.729275753,-0.0500474650363949,2022-03-16,11,4
"Odessa",3,17,17308,53029.5454545455,52624,2214672.19558773,0.0237615300832522,728404.271078451,42166319.9815403,2937845,13353284.6970094,2.93773973008499,2139862.16671076,-74810.0288769691,-0.033779278498196,2022-03-17,11,4
"Odessa",3,18,19212,53029.5454545455,52624,2214672.19558773,0.0237615300832522,808533.791076912,42166319.9815403,3000568,16972684.1033735,2.30757561638443,1865752.86131195,-348919.334275784,-0.157548974954818,2022-03-18,11,4
"Odessa",3,19,19265,53029.5454545455,52624,2214672.19558773,0.0237615300832522,810764.287169306,42166319.9815403,3054560,15048536.3012417,2.59904081025561,2107209.46985083,-107462.725736902,-0.0485230843422332,2022-03-19,11,4
"Odessa",3,20,16815,53029.5454545455,52624,2214672.19558773,0.0237615300832522,707656.448935992,42166319.9815403,3096110,15993995.4746665,2.44280486657791,1728666.61732608,-486005.578261645,-0.219448087725989,2022-03-20,11,4
"Odessa",3,21,19416,53029.5454545455,52624,2214672.19558773,0.0237615300832522,817119.096791033,42166319.9815403,3142666,14364262.2517806,2.71671828998408,2219882.39534747,5210.19975974225,0.00235258282021261,2022-03-21,12,5
"Odessa",3,22,18334,53029.5454545455,52624,2214672.19558773,0.0237615300832522,771583.308640647,42166319.9815403,3193428,14451987.9298299,2.69671495511683,2080740.24752976,-133931.94805797,-0.0604748406219219,2022-03-22,12,5
"Odessa",3,23,19063,53029.5454545455,52624,2214672.19558773,0.0237615300832522,802263.15111905,42166319.9815403,3242073,13909799.1043916,2.79833279326452,2244999.28460416,30327.0890164333,0.0136937146169323,2022-03-23,12,5
"Odessa",3,24,17618,53029.5454545455,52624,2214672.19558773,0.0237615300832522,741450.56897736,42166319.9815403,3293875,13222244.7539933,2.93992780384741,2179811.14291502,-34861.052672707,-0.0157409537818555,2022-03-24,12,5
