"week","oblast_name","week_number","count","intensity"
2022-05-23,"Chernivetska",14,0,0
2022-05-23,"Dnipropetrovska",14,25,3.16856780735108
2022-05-23,"Donetska",14,29,3.67553865652725
2022-05-23,"Ivano-Frankivska",14,0,0
2022-05-23,"Kharkivska",14,17,2.15462610899873
2022-05-23,"Khersonska",14,23,2.91508238276299
2022-05-23,"Khmelnytska",14,0,0
2022-05-23,"Kirovohradska",14,0,0
2022-05-23,"Kyiv",14,0,0
2022-05-23,"Kyivska",14,0,0
2022-05-23,"Luhanska",14,17,2.15462610899873
2022-05-23,"Lvivska",14,0,0
2022-05-23,"Mykolaivska",14,0,0
2022-05-23,"Odeska",14,0,0
2022-05-23,"Poltavska",14,0,0
2022-05-23,"Rivnenska",14,0,0
2022-05-23,"Sevastopol",14,0,0
2022-05-23,"Sumska",14,0,0
2022-05-23,"Ternopilska",14,0,0
2022-05-23,"Vinnytska",14,0,0
2022-05-23,"Volynska",14,0,0
2022-05-23,"Zakarpatska",14,0,0
2022-05-23,"Zaporizka",14,0,0
2022-05-23,"Zhytomyrska",14,0,0
2022-05-30,"Autonomous Republic of Crimea",15,0,0
2022-05-30,"Cherkaska",15,0,0
2022-05-30,"Chernihivska",15,0,0
2022-05-30,"Chernivetska",15,0,0
2022-05-30,"Dnipropetrovska",15,55,6.97084917617237
2022-05-30,"Donetska",15,21,2.6615969581749
2022-05-30,"Ivano-Frankivska",15,0,0
2022-05-30,"Kharkivska",15,11,1.39416983523447
2022-05-30,"Khersonska",15,0,0
2022-05-30,"Khmelnytska",15,0,0
2022-05-30,"Kirovohradska",15,0,0
2022-05-30,"Kyiv",15,0,0
2022-05-30,"Kyivska",15,0,0
2022-05-30,"Luhanska",15,17,2.15462610899873
2022-05-30,"Lvivska",15,0,0
2022-05-30,"Mykolaivska",15,0,0
2022-05-30,"Odeska",15,0,0
2022-05-30,"Poltavska",15,0,0
2022-05-30,"Rivnenska",15,0,0
2022-05-30,"Sevastopol",15,0,0
2022-05-30,"Sumska",15,0,0
2022-05-30,"Ternopilska",15,0,0
2022-05-30,"Vinnytska",15,0,0
2022-05-30,"Volynska",15,0,0
2022-05-30,"Zakarpatska",15,0,0
2022-05-30,"Zaporizka",15,0,0
2022-05-30,"Zhytomyrska",15,0,0
2022-06-06,"Autonomous Republic of Crimea",16,0,0
2022-06-06,"Cherkaska",16,0,0
2022-06-06,"Chernihivska",16,0,0
2022-06-06,"Chernivetska",16,0,0
2022-06-06,"Dnipropetrovska",16,0,0
2022-06-06,"Donetska",16,52,6.59062103929024
2022-06-06,"Ivano-Frankivska",16,0,0
2022-06-06,"Kharkivska",16,137,17.3637515842839
2022-06-06,"Khersonska",16,6,0.760456273764259
2022-06-06,"Khmelnytska",16,0,0
2022-06-06,"Kirovohradska",16,0,0
2022-06-06,"Kyiv",16,0,0
2022-06-06,"Kyivska",16,5,0.633713561470215
2022-06-06,"Luhanska",16,144,18.2509505703422
2022-06-06,"Lvivska",16,0,0
2022-06-06,"Mykolaivska",16,0,0
2022-06-06,"Odeska",16,0,0
2022-06-06,"Poltavska",16,2,0.253485424588086
2022-06-06,"Rivnenska",16,0,0
2022-06-06,"Sevastopol",16,0,0
2022-06-06,"Sumska",16,0,0
2022-06-06,"Ternopilska",16,0,0
2022-06-06,"Vinnytska",16,0,0
2022-06-06,"Volynska",16,0,0
2022-06-06,"Zakarpatska",16,0,0
2022-06-06,"Zaporizka",16,0,0
2022-06-06,"Zhytomyrska",16,0,0
