"week","raion_name","week_number","count","intensity"
2022-03-14,"Khustskyi",4,0,0
2022-03-14,"Berdianskyi",4,0,0
2022-03-14,"Vasylivskyi",4,0,0
2022-03-14,"Zaporizkyi",4,0,0
2022-03-14,"Melitopolskyi",4,0,0
2022-03-14,"Polohivskyi",4,25,7.73993808049536
2022-03-14,"Verkhovynskyi",4,0,0
2022-03-14,"Ivano-Frankivskyi",4,0,0
2022-03-14,"Kaluskyi",4,0,0
2022-03-14,"Kolomyiskyi",4,0,0
2022-03-14,"Kosivskyi",4,0,0
2022-03-14,"Nadvirnianskyi",4,0,0
2022-03-14,"Chornobyl Exclusion Zone",4,73,22.6006191950464
2022-03-14,"Bilotserkivskyi",4,0,0
2022-03-14,"Boryspilskyi",4,1,0.309597523219814
2022-03-14,"Brovarskyi",4,43,13.312693498452
2022-03-14,"Buchanskyi",4,219,67.8018575851393
2022-03-14,"Vyshhorodskyi",4,78,24.1486068111455
2022-03-14,"Obukhivskyi",4,0,0
2022-03-14,"Fastivskyi",4,0,0
2022-03-14,"Holovanivskyi",4,0,0
2022-03-14,"Kropyvnytskyi",4,0,0
2022-03-14,"Novoukrainskyi",4,0,0
2022-03-14,"Oleksandriiskyi",4,0,0
2022-03-14,"Alchevskyi",4,2,0.619195046439629
2022-03-14,"Dovzhanskyi",4,0,0
2022-03-14,"Luhanskyi",4,0,0
2022-03-14,"Rovenkivskyi",4,0,0
2022-03-14,"Svativskyi",4,0,0
2022-03-14,"Sievierodonetskyi",4,7,2.1671826625387
2022-03-14,"Starobilskyi",4,0,0
2022-03-14,"Shchastynskyi",4,0,0
2022-03-14,"Drohobytskyi",4,0,0
2022-03-14,"Zolochivskyi",4,0,0
2022-03-14,"Lvivskyi",4,0,0
2022-03-14,"Sambirskyi",4,0,0
2022-03-14,"Stryiskyi",4,1,0.309597523219814
2022-03-14,"Chervonohradskyi",4,0,0
2022-03-14,"Yavorivskyi",4,0,0
2022-03-14,"Bashtanskyi",4,0,0
2022-03-14,"Voznesenskyi",4,2,0.619195046439629
2022-03-14,"Mykolaivskyi",4,0,0
2022-03-14,"Pervomaiskyi",4,0,0
2022-03-14,"Berezivskyi",4,1,0.309597523219814
2022-03-14,"Bilhorod-Dnistrovskyi",4,0,0
2022-03-14,"Bolhradskyi",4,0,0
2022-03-14,"Izmailskyi",4,0,0
2022-03-14,"Odeskyi",4,1,0.309597523219814
2022-03-14,"Podilskyi",4,0,0
2022-03-14,"Rozdilnianskyi",4,2,0.619195046439629
2022-03-14,"Kremenchutskyi",4,0,0
2022-03-14,"Lubenskyi",4,0,0
2022-03-14,"Myrhorodskyi",4,0,0
2022-03-14,"Poltavskyi",4,0,0
2022-03-14,"Varaskyi",4,0,0
2022-03-14,"Dubenskyi",4,0,0
2022-03-14,"Rivnenskyi",4,0,0
2022-03-14,"Sarnenskyi",4,0,0
2022-03-14,"Konotopskyi",4,0,0
2022-03-14,"Okhtyrskyi",4,0,0
2022-03-14,"Romenskyi",4,0,0
2022-03-14,"Sumskyi",4,0,0
2022-03-14,"Shostkynskyi",4,0,0
2022-03-14,"Kremenetskyi",4,0,0
2022-03-14,"Ternopilskyi",4,0,0
2022-03-14,"Chortkivskyi",4,0,0
2022-03-14,"Bohodukhivskyi",4,0,0
2022-03-14,"Iziumskyi",4,25,7.73993808049536
2022-03-14,"Krasnohradskyi",4,0,0
2022-03-14,"Kupianskyi",4,0,0
2022-03-14,"Lozivskyi",4,0,0
2022-03-14,"Kharkivskyi",4,0,0
2022-03-14,"Chuhuivskyi",4,0,0
2022-03-14,"Beryslavskyi",4,0,0
2022-03-14,"Henicheskyi",4,0,0
2022-03-14,"Kakhovskyi",4,3,0.928792569659443
2022-03-14,"Skadovskyi",4,34,10.5263157894737
2022-03-14,"Khersonskyi",4,3,0.928792569659443
2022-03-14,"Kamianets-Podilskyi",4,2,0.619195046439629
2022-03-14,"Khmelnytskyi",4,5,1.54798761609907
2022-03-14,"Shepetivskyi",4,0,0
2022-03-14,"Zvenyhorodskyi",4,0,0
2022-03-14,"Zolotoniskyi",4,0,0
2022-03-14,"Umanskyi",4,0,0
2022-03-14,"Cherkaskyi",4,0,0
2022-03-14,"Vyzhnytskyi",4,0,0
2022-03-14,"Dnistrovskyi",4,0,0
2022-03-14,"Chernivetskyi",4,0,0
2022-03-14,"Koriukivskyi",4,0,0
2022-03-14,"Nizhynskyi",4,24,7.43034055727554
2022-03-14,"Novhorod-Siverskyi",4,0,0
2022-03-14,"Prylutskyi",4,24,7.43034055727554
2022-03-14,"Chernihivskyi",4,93,28.7925696594427
2022-03-14,"Kyiv",4,0,0
2022-03-14,"Sevastopol",4,0,0
2022-03-21,"Bakhchysaraiskyi",5,0,0
2022-03-21,"Bilohirskyi",5,0,0
2022-03-21,"Dzhankoiskyi",5,0,0
2022-03-21,"Yevpatoriiskyi",5,0,0
2022-03-21,"Kerchenskyi",5,0,0
2022-03-21,"Kurmanskyi",5,0,0
2022-03-21,"Perekopskyi",5,0,0
2022-03-21,"Simferopolskyi",5,0,0
2022-03-21,"Feodosiiskyi",5,0,0
2022-03-21,"Yaltynskyi",5,0,0
2022-03-21,"Vinnytskyi",5,0,0
2022-03-21,"Haisynskyi",5,0,0
2022-03-21,"Zhmerynskyi",5,0,0
2022-03-21,"Mohyliv-Podilskyi",5,0,0
2022-03-21,"Tulchynskyi",5,0,0
2022-03-21,"Khmilnytskyi",5,0,0
2022-03-21,"Volodymyrskyi",5,0,0
2022-03-21,"Kamin-Kashyrskyi",5,0,0
2022-03-21,"Kovelskyi",5,0,0
2022-03-21,"Lutskyi",5,0,0
2022-03-21,"Dniprovskyi",5,1,0.309597523219814
2022-03-21,"Kamianskyi",5,2,0.619195046439629
2022-03-21,"Kryvorizkyi",5,2,0.619195046439629
2022-03-21,"Nikopolskyi",5,2,0.619195046439629
2022-03-21,"Novomoskovskyi",5,5,1.54798761609907
2022-03-21,"Pavlohradskyi",5,46,14.2414860681115
2022-03-21,"Synelnykivskyi",5,0,0
